Rank,Name,Team,ByeWeek,Age,Position,PositionRank,Week1ADP,Week2ADP,Week3ADP,HighestADP,LowestADP,AverageDraftPosition
149,Joe Flacco,BAL,9,38,QB,QB18,403,403,403,403,403,143.5
150,Cameron Artis-Payne,CAR,5,30,RB,RB53,null,null,null,null,null,144
151,Stephen Gostkowski,NE,4,39,K,K1,null,null,null,null,null,144.9
152,Antonio Gates,LAC,10,42,TE,TE17,null,null,null,null,null,145.3
153,Michael Crabtree,LV,6,35,WR,WR55,null,null,null,null,null,146
154,Colin Kaepernick,SF,10,35,QB,QB19,null,null,null,null,null,146.2
155,Adam Vinatieri,IND,10,50,K,K2,null,null,null,null,null,146.3
156,Tyrod Taylor,BUF,8,33,QB,QB20,414,414,414,414,414,146.7
157,Josh Hill,NO,11,32,TE,TE18,null,null,null,null,null,147.8
158,Christine Michael,SEA,9,32,RB,RB54,null,null,null,null,null,148.1
159,Andre Williams,NYG,11,30,RB,RB55,null,null,null,null,null,148.2
159,Dorial Green-Beckham,TEN,4,29,WR,WR56,null,null,null,null,null,148.2
161,Jay Cutler,CHI,7,39,QB,QB21,null,null,null,null,null,149.1
162,Charles Sims,TB,6,32,RB,RB56,null,null,null,null,null,149.6
163,Percy Harvin,BUF,8,34,WR,WR57,null,null,null,null,null,149.9
163,Vernon Davis,SF,10,39,TE,TE19,null,null,null,null,null,149.9
165,Khiry Robinson,NO,11,33,RB,RB57,null,null,null,null,null,150.8
166,Tyler Lockett,SEA,9,30,WR,WR58,102.9,102.9,102.9,102.9,102.9,152
167,Fred Jackson,BUF,8,42,RB,RB58,null,null,null,null,null,152.5
168,Cody Parkey,PHI,8,31,K,K3,null,null,null,null,null,152.8
169,Richard Rodgers,GB,7,31,TE,TE20,726,726,726,726,726,153
170,Kansas City Chiefs,KC,9,null,DST,DST10,155.1,155.1,155.1,155.1,155.1,153.5
170,Roy Helu,LV,6,34,RB,RB59,null,null,null,null,null,153.5
172,Jeff Janis,GB,7,31,WR,WR59,null,null,null,null,null,153.8
173,James Starks,GB,7,37,RB,RB60,null,null,null,null,null,154.7
174,Denard Robinson,JAX,8,32,RB,RB61,null,null,null,null,null,154.8
175,Stephen Hauschka,SEA,9,37,K,K4,null,null,null,null,null,156.2
176,Rueben Randle,NYG,11,31,WR,WR60,null,null,null,null,null,156.5
177,Marcus Mariota,TEN,4,29,QB,QB22,212,212,212,212,212,156.7
178,Dan Bailey,DAL,6,35,K,K5,null,null,null,null,null,156.8
179,Carolina Panthers,CAR,5,null,DST,DST11,142.6,142.6,142.6,142.6,142.6,157
180,James Jones,LV,6,38,WR,WR61,null,null,null,null,null,157.2
181,Cody Latimer,DEN,7,30,WR,WR62,null,null,null,null,null,157.4
182,Phillip Dorsett,IND,10,30,WR,WR63,232,232,232,232,232,158.6
183,Mason Crosby,GB,7,38,K,K6,411,411,411,411,411,160.2
184,Allen Hurns,JAX,8,31,WR,WR64,null,null,null,null,null,160.3
185,Justin Tucker,BAL,9,33,K,K7,135.3,135.3,135.3,135.3,135.3,163.3
186,New England Patriots,NE,4,null,DST,DST12,154.7,154.7,154.7,154.7,154.7,163.8
187,Green Bay Packers,GB,7,null,DST,DST13,151.8,151.8,151.8,151.8,151.8,164.8
188,Baltimore Ravens,BAL,9,null,DST,DST14,163.9,163.9,163.9,163.9,163.9,165.7
189,Matt Prater,DET,9,38,K,K8,166.1,166.1,166.1,166.1,166.1,165.8
190,Sebastian Janikowski,LV,6,45,K,K9,null,null,null,null,null,166.4
191,Minnesota Vikings,MIN,5,null,DST,DST15,157.7,157.7,157.7,157.7,157.7,168.4
192,Matt Bryant,ATL,10,47,K,K10,null,null,null,null,null,169.7
193,Brandon McManus,DEN,7,31,K,K11,152.3,152.3,152.3,152.3,152.3,171.4
194,Blair Walsh,MIN,5,33,K,K12,null,null,null,null,null,173.7
